"individual_id","tissue","exon_id","EXON","CONTIG_TYPE","GENE_TYPE","FRAMESHIFTS_BLAST","INFRAME_STOPS_BLAST","FRAMESHIFTS_MINIPROT","INFRAME_STOPS_MINIPROT","exon_len_bp","exon_len_kb","count","RPK","scaling_factor","TPM","logTPM1","SPECIES"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000172l_43405-43665:._AC_1603_72852_hap1_h1tg000172l_43920-44196:.","EXON2","Not_core","Potential_pseudogene",0,0,NA,NA,261,0.261,28,107.27969348659,0.0250809776526099,4277.33300401974,8.36131872766473,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000172l_43405-43665:._AC_1603_72852_hap1_h1tg000172l_43920-44196:.","EXON3","Not_core","Potential_pseudogene",2,0,NA,NA,277,0.277,28,101.083032490975,0.0250809776526099,4030.26683772257,8.30183595733476,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000172l_473033-473309:.","EXON3","Not_core","Potential_pseudogene",2,1,NA,NA,277,0.277,34,122.743682310469,0.0250809776526099,4893.89544580598,8.49594819535059,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000172l_513380-513646:._AC_1603_72852_hap1_h1tg000172l_514789-515066:.","EXON2","Not_core","Potential_coding_gene",0,0,0,0,267,0.267,66,247.191011235955,0.0250809776526099,9855.71673719156,9.19590840402938,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000172l_513380-513646:._AC_1603_72852_hap1_h1tg000172l_514789-515066:.","EXON3","Not_core","Potential_coding_gene",0,0,0,0,278,0.278,66,237.410071942446,0.0250809776526099,9465.74233392139,9.15554012846911,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000172l_521338-521577:.","EXON2","Not_core","Potential_coding_gene",0,0,NA,NA,240,0.24,33,137.5,0.0250809776526099,5482.2424350628,8.60945189019581,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000172l_626743-627019:.","EXON3","Not_core","Potential_pseudogene",2,1,NA,NA,277,0.277,11,39.7111913357401,0.0250809776526099,1583.31911481958,7.36791001345975,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000410l_117076-117353:-_AC_1603_72852_hap1_h1tg000410l_118349-118615:-","EXON2","Core","Potential_coding_gene",0,0,0,0,267,0.267,413,1546.81647940075,0.0250809776526099,61672.8941281835,11.0296160106034,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000410l_117076-117353:-_AC_1603_72852_hap1_h1tg000410l_118349-118615:-","EXON3","Core","Potential_coding_gene",0,0,0,0,278,0.278,413,1485.61151079137,0.0250809776526099,59232.599756205,10.9892442233183,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000410l_145341-145618:-_AC_1603_72852_hap1_h1tg000410l_146562-146828:-","EXON2","Core","Potential_coding_gene",0,0,1,0,267,0.267,262,981.2734082397,0.0250809776526099,39124.208865821,10.5745222662517,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000410l_145341-145618:-_AC_1603_72852_hap1_h1tg000410l_146562-146828:-","EXON3","Core","Potential_coding_gene",0,0,1,0,278,0.278,262,942.446043165468,0.0250809776526099,37576.1286589001,10.534150863952,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000410l_178066-178343:-_AC_1603_72852_hap1_h1tg000410l_179816-180082:-","EXON2","Core","Potential_coding_gene",0,0,1,0,267,0.267,174,651.685393258427,0.0250809776526099,25983.2532162323,10.1652459879968,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000410l_178066-178343:-_AC_1603_72852_hap1_h1tg000410l_179816-180082:-","EXON3","Core","Potential_coding_gene",0,0,1,0,278,0.278,174,625.899280575539,0.0250809776526099,24955.1388803382,10.1248751182231,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000410l_60409-60675:._AC_1603_72852_hap1_h1tg000410l_61934-62211:.","EXON2","Core","Potential_coding_gene",0,0,0,0,267,0.267,260,973.78277153558,0.0250809776526099,38825.5507828758,10.5668595901136,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000410l_60409-60675:._AC_1603_72852_hap1_h1tg000410l_61934-62211:.","EXON3","Core","Potential_coding_gene",0,0,0,0,278,0.278,260,935.251798561151,0.0250809776526099,37289.2879821146,10.5264881959136,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000410l_88578-88855:-_AC_1603_72852_hap1_h1tg000410l_89959-90225:-","EXON2","Core","Potential_coding_gene",0,0,1,0,267,0.267,358,1340.82397003745,0.0250809776526099,53459.7968471906,10.8867038950661,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap1_h1tg000410l_88578-88855:-_AC_1603_72852_hap1_h1tg000410l_89959-90225:-","EXON3","Core","Potential_coding_gene",0,0,1,0,278,0.278,358,1287.76978417266,0.0250809776526099,51344.4811446039,10.8463322104056,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000031l_1069163-1069439:-_AC_1603_72852_hap2_h2tg000031l_1069694-1069954:-","EXON2","Not_core","Potential_pseudogene",0,0,NA,NA,261,0.261,0,0,0.0250809776526099,0,0,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000031l_1069163-1069439:-_AC_1603_72852_hap2_h2tg000031l_1069694-1069954:-","EXON3","Not_core","Potential_pseudogene",2,0,NA,NA,277,0.277,0,0,0.0250809776526099,0,0,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000031l_1069694-1069954:-_AC_1603_72852_hap2_h2tg000186l_43405-43665:.","EXON2","Not_core","Potential_coding_gene",0,0,NA,NA,261,0.261,2,7.66283524904215,0.0250809776526099,305.52378600141,5.72529535758997,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000031l_498556-498832:-","EXON3","Not_core","Potential_pseudogene",2,1,0,0,277,0.277,0,0,0.0250809776526099,0,0,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000031l_604610-604849:-","EXON2","Not_core","Potential_coding_gene",0,0,0,0,240,0.24,11,45.8333333333333,0.0250809776526099,1827.41414502093,7.51120428271126,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000031l_611121-611398:-_AC_1603_72852_hap2_h2tg000031l_612542-612808:-","EXON2","Not_core","Potential_coding_gene",0,0,0,0,267,0.267,22,82.3970037453183,0.0250809776526099,3285.23891239719,8.09749900210068,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000031l_611121-611398:-_AC_1603_72852_hap2_h2tg000031l_612542-612808:-","EXON3","Not_core","Potential_coding_gene",0,0,0,0,278,0.278,22,79.136690647482,0.0250809776526099,3155.24744464046,8.05713908340448,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000031l_652877-653153:-","EXON3","Not_core","Potential_pseudogene",2,1,NA,NA,277,0.277,11,39.7111913357401,0.0250809776526099,1583.31911481958,7.36791001345975,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000186l_43405-43665:._AC_1603_72852_hap2_h2tg000186l_43920-44196:.","EXON3","Not_core","Potential_pseudogene",2,0,NA,NA,277,0.277,2,7.22021660649819,0.0250809776526099,287.87620269447,5.6659982319592,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000186l_473033-473309:.","EXON3","Not_core","Potential_pseudogene",2,1,NA,NA,277,0.277,0,0,0.0250809776526099,0,0,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000186l_513380-513646:._AC_1603_72852_hap2_h2tg000186l_514789-515066:.","EXON2","Not_core","Potential_coding_gene",0,0,0,0,267,0.267,0,0,0.0250809776526099,0,0,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000186l_513380-513646:._AC_1603_72852_hap2_h2tg000186l_514789-515066:.","EXON3","Not_core","Potential_coding_gene",0,0,0,0,278,0.278,0,0,0.0250809776526099,0,0,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000186l_521338-521577:.","EXON2","Not_core","Potential_coding_gene",0,0,NA,NA,240,0.24,0,0,0.0250809776526099,0,0,"AC"
"AC_1603_72852","Blood","AC_1603_72852_hap2_h2tg000186l_626743-627019:.","EXON3","Not_core","Potential_pseudogene",2,1,NA,NA,277,0.277,2,7.22021660649819,0.0250809776526099,287.87620269447,5.6659982319592,"AC"
