ref|XM_041712683.1_RXRB_ex4|:500-679	1	173	AC_1603_72852#1#h1tg000039l	84.393	173	27311859	1311377	1311205	minus	5.0000000000000005e-39	1311205	1311377	AC_1603_72852.1	RXRG	NA
ref|XM_041712683.1_RXRB_ex4|:500-679	3	173	AC_1603_72852#1#h1tg000071l	87.135	171	11179773	7780569	7780739	plus	2.97e-46	7780569	7780739	AC_1603_72852.1	RXRA	fastOMA_ortholog
U23958.1_AC_isolate2.2_MHC_classIIB_exon3	288	574	AC_1603_72852#1#h1tg000172l	93.728	287	1057336	514781	515067	plus	7.94e-117	514781	515067	AC_1603_72852.1	LOC100221316	fastOMA_ortholog
U23958.1_AC_isolate2.2_MHC_classIIB_exon3	487	564	AC_1603_72852#1#h1tg000237l	87.342	79	944163	754782	754860	plus	5.5e-14	754782	754860	AC_1603_72852.1		NA
Mhc_U23958.1_exon2.fa	1	236	AC_1603_72852#1#h1tg000410l	87.764	237	190478	60409	60644	plus	1.53e-70	60409	60644	AC_1603_72852.1	LOC100221316	fastOMA_ortholog
U23958.1_AC_isolate2.2_MHC_classIIB_exon3	288	574	AC_1603_72852#1#h1tg000410l	99.303	287	190478	61926	62212	plus	1.65e-143	61926	62212	AC_1603_72852.1	LOC100221316	fastOMA_ortholog
U23958.1_AC_isolate2.2_MHC_classIIB_exon3	291	574	AC_1603_72852#1#h1tg000410l	99.648	284	190478	88859	88576	minus	1.65e-143	88576	88859	AC_1603_72852.1	BLB1	fastOMA_ortholog
Mhc_U23958.1_exon2.fa	1	253	AC_1603_72852#1#h1tg000410l	83.794	253	190478	90224	89972	minus	5.59e-60	89972	90224	AC_1603_72852.1	BLB1	fastOMA_ortholog
U23958.1_AC_isolate2.2_MHC_classIIB_exon3	291	574	AC_1603_72852#1#h1tg000410l	99.648	284	190478	117357	117074	minus	1.65e-143	117074	117357	AC_1603_72852.1	LOC100221316	fastOMA_ortholog
Mhc_U23958.1_exon2.fa	1	253	AC_1603_72852#1#h1tg000410l	82.353	255	190478	118614	118362	minus	2.62e-53	118362	118614	AC_1603_72852.1	LOC100221316	fastOMA_ortholog
